portfolio_manager,period,sells,buys
AKO Capital,Q1 2023,"GOOG,ADBE,EFX,BKNG,EL","MSFT,CPRT,URI,ALC,MCO"
Alex Roepers - Atlantic Investment Management,Q1 2023,"WRK,UNVR,AVT,OI,RL","HAL,WCC,HUN,HI,EMN"
AltaRock Partners,Q1 2023,"MSFT,TDG,GOOGL,V,MA","CHTR,AMZN"
Bill & Melinda Gates Foundation Trust,Q1 2023,"BRK.B,WEBR-OLD",
Bill Ackman - Pershing Square Capital Management,Q1 2023,"CMG,HLT,LOW","GOOG,GOOGL,HHC,CP"
Bill Miller - Miller Value Partners,Q1 2023,"SI,TMHC,DXC,COIN,FI,TEVA,JPM","UBS,PTON,PGEN"
Bill Nygren - Oakmark Select Fund,Q1 2023,"C,NFLX,ALSN,HCA","SCHW,FCNCA,WFC,GOOGL,AMZN,ICE"
Bruce Berkowitz - Fairholme Capital,Q1 2023,"CMC,ORI,JOE,INTC,C,BRK.B,BABA","MMP,EPD"
Bryan Lawrence - Oakcliff Capital,Q1 2023,"TDG,CHTR,SGU","GIL,GOOG"
Carl Icahn - Icahn Capital Management,Q1 2023,"HRI,NWL","SWX,ILMN,OXY.WS"
Charles Bobrinskoy - Ariel Focus Fund,Q1 2023,"SPHR,LAZ,WU","MSGE,BAC,MSGS,FAF,GNRC,ZBRA,ZIMV"
Charlie Munger - Daily Journal Corp.,Q1 2023,,
Chase Coleman - Tiger Global Management,Q1 2023,S,"GOOGL,TTWO,INTU,MSFT,TSM,AAPL,APO,DDOG,AMZN"
Chris Hohn - TCI Fund Management,Q1 2023,"GOOG,MSFT,GOOGL,V,UNP","GE,TMO,MCO,SPGI"
Christopher Bloomstran - Semper Augustus,Q1 2023,"OLN,VLO,XOM","DG,BRK.A,KGC,NEM,MCY,BRK.B,DINO"
Christopher Davis - Davis Advisors,Q1 2023,"META,DGX,BABA,BRK.A,CI,WFC,RTX","AMZN,JD,BIDU"
Chuck Akre - Akre Capital Management,Q1 2023,"KMX,ADBE,ALRM,DLTR,ORLY","BN,KKR,DBRG,AMT,MA"
Clifford Sosin - CAS Investment Partners,Q1 2023,"HGV,PRTYQ",COF
Daniel Loeb - Third Point,Q1 2023,"S,TJX,OVV,UNH,FIS,AIG","GOOGL,HCA,CRM,BABA"
David Abrams - Abrams Capital Management,Q1 2023,"TEVA,META,ABG",CTLP
David Einhorn - Greenlight Capital,Q1 2023,"VSCO,REZI","BKI,CEIX,THC,FCNCA,NYCB,CPRI,CNXC,GPN"
David Katz - Matrix Asset Advisors,Q1 2023,"TFC,KMB,SLB,KO,PARA","UNP,PNC,TSN,AMZN,HD"
David Rolfe - Wedgewood Partners,Q1 2023,"PGR,MSFT,TPL,TSCO","UNH,META,POOL,GOOGL,TSM,PYPL"
David Tepper - Appaloosa Management,Q1 2023,CEG,"UBER,FDX,AMZN,NVDA,TSLA,META,ARKK,MTCH,GOOG"
Dennis Hong - ShawSpring Partners,Q1 2023,"SE,SNOW","CPNG,IAC,INTU,HLT,BLND"
Dodge & Cox,Q1 2023,"META,AXP,PYPL,MFGP-OLD","GEHC,D,GOOGL,AMZN,MDT,GSK"
First Eagle Investment Management,Q1 2023,"WFC,TRV,DHI,WRB,CHRW,FIS","MDT,FNF,GOOG,ABEV"
FPA Queens Road Small Cap Value Fund,Q1 2023,"SJI-OLD,AAWW-OLD,MTZ,AEL","MDU,IAC,CSGS,UNFI,SCHL,CNO"
Francis Chou - Chou Associates,Q1 2023,"RFP-OLD,CIXXF","NAVI,SYF"
Francois Rochon - Giverny Capital,Q1 2023,"FRCB,SSNC,SNBR,BRK.B,FIVE,KEYS,GOOG,VOO","FI,PGR"
Glenn Greenberg - Brave Warrior Advisors,Q1 2023,"HCA,FNF,LAD,PRI,JPM,APO","ELV,FG,AN,FAF"
Glenn Welling - Engaged Capital,Q1 2023,"BRBR,NEWR,EVH","SHAK,STKL,FRPT,UPBD,IWM"
