symbol,stock,percentage,ownership_count,hold_price,max_percentage,current_price,_52_week_low,percentage_above_52_week_low,_52_week_high
MSFT,Microsoft Corp.,2.600,31,$288.12,31.05,$335.04,$211.37,58.51,$351.47
BRK.A,Berkshire Hathaway CL A,2.056,13,$465469.51,51.97,$508940.00,$393012.25,29.50,$522000.00
GOOG,Alphabet Inc. CL C,2.050,27,$104.00,15.67,$122.99,$83.45,47.38,$129.55
META,Meta Platforms Inc.,1.885,24,$211.95,22.98,$288.67,$88.09,227.70,$289.66
AMZN,Amazon.com Inc.,1.772,23,$103.30,22.86,$129.31,$81.43,58.80,$146.57
GOOGL,Alphabet Inc.,1.732,30,$103.61,17.85,$122.37,$83.34,46.83,$129.04
MU,Micron Technology Inc.,1.694,11,$60.34,79.22,$65.26,$48.04,35.85,$74.77
V,Visa Inc.,1.612,25,$225.45,14.89,$229.56,$173.13,32.59,$249.60
BRK.B,Berkshire Hathaway CL B,1.456,21,$298.54,22.45,$335.26,$259.85,29.02,$341.68
BAC,Bank of America Corp.,1.364,16,$28.60,40.86,$27.75,$26.11,6.28,$37.83
MA,Mastercard Inc.,1.172,18,$363.26,20.49,$379.82,$275.99,37.62,$392.20
JOE,St. Joe Co.,1.079,1,,83.08,$44.51,$30.88,44.14,$47.80
CRM,Salesforce.com,1.040,13,$199.78,23.05,$210.09,$126.34,66.29,$225.00
AAPL,Apple Inc.,1.031,15,$164.72,46.44,$186.70,$123.64,51.00,$187.05
WFC,Wells Fargo,1.015,17,$37.51,36.96,$40.61,$34.98,16.09,$48.46
TDG,TransDigm Group Inc.,0.964,6,$737.04,27.92,$849.60,$499.63,70.05,$858.67
IEP,Icahn Enterprises,0.915,1,,70.43,$27.38,$18.03,51.86,$47.00
HGV,Hilton Grand Vacations Inc.,0.813,1,,62.61,$44.48,$32.12,38.48,$51.81
MCO,Moody's Corp.,0.791,15,$305.88,15.38,$337.35,$227.82,48.08,$351.06
CPNG,Coupang Inc.,0.753,6,$16.00,30.55,$16.60,$12.24,35.62,$21.38
DIS,Walt Disney Co.,0.676,14,$100.13,15.79,$88.08,$84.07,4.77,$126.48
FI,Fiserv Inc.,0.627,11,$113.03,21.44,$120.46,$87.80,37.20,$122.39
UNH,United Health Group Inc.,0.619,17,$466.23,6.18,$476.91,$443.86,7.45,$552.14
KKR,KKR & Co. L.P.,0.585,11,$52.52,17.56,$53.59,$41.28,29.82,$60.17
BN,Brookfield Corp.,0.583,7,$32.60,20.76,$31.35,$28.25,10.97,$53.76
LAD,Lithia Motors Inc.,0.578,7,$228.93,17.02,$283.35,$178.58,58.67,$298.12
CNI,Canadian Natl Railway Co.,0.567,5,$117.97,17.74,$117.75,$102.32,15.08,$128.19
CHTR,Charter Communications,0.559,9,$357.61,19.92,$326.26,$297.66,9.61,$496.37
COF,Capital One Financial,0.544,13,$96.16,7.00,$106.61,$83.35,27.91,$122.20
INTU,Intuit Inc.,0.544,9,$445.32,12.24,$452.54,$351.29,28.82,$488.05
SPGI,S&P Global Inc.,0.537,8,$344.77,18.18,$390.35,$277.89,40.47,$402.92
CP,Canadian Pacific Kansas City,0.531,5,$76.95,14.72,$80.06,$64.92,23.32,$83.45
BABA,Alibaba Group Holdings,0.519,10,$101.28,19.04,$84.90,$58.01,46.35,$125.84
FICO,Fair Isaac Corp.,0.517,4,$702.69,25.09,$776.29,$389.84,99.13,$815.64
ALLY,Ally Financial Inc.,0.516,5,$25.49,27.86,$26.38,$21.34,23.62,$36.69
IAC,IAC Inc.,0.492,4,$51.60,29.03,$61.26,$41.52,47.54,$85.04
GE,General Electric,0.481,8,$95.60,10.27,$103.80,$47.02,120.76,$108.90
JPM,JPMorgan Chase & Co.,0.478,12,$130.38,9.58,$138.87,$99.75,39.22,$144.02
BKNG,Booking Holdings Inc.,0.461,9,$2652.40,13.94,$2623.49,$1616.85,62.26,$2786.85
WIX,Wix.com Ltd.,0.452,2,$99.80,17.49,$77.56,$56.17,38.08,$101.55
CACC,Credit Acceptance Corp.,0.440,5,$436.04,28.09,$501.52,$358.00,40.09,$617.44
STLA,Stellantis N.V.,0.435,3,$18.19,32.75,$16.47,$10.42,58.06,$17.40
AXP,American Express,0.418,12,$164.45,17.82,$168.10,$129.72,29.59,$181.48
GRBK,Green Brick Partners,0.411,2,$35.06,31.64,$54.56,$18.73,191.30,$57.18
C,Citigroup Inc.,0.406,8,$46.89,8.22,$46.01,$38.74,18.77,$52.83
GS,Goldman Sachs Group,0.389,9,$327.11,11.29,$314.68,$269.96,16.57,$381.38
ORCL,Oracle Corp.,0.378,11,$90.75,7.33,$118.58,$59.99,97.67,$127.54
PEP,PepsiCo Inc.,0.372,10,$177.16,11.48,$186.06,$156.71,18.73,$194.16
ELV,Elevance Health Inc.,0.372,5,$459.81,15.43,$450.35,$428.87,5.01,$544.68
IBKR,Interactive Brokers Group Inc.,0.368,3,$82.56,19.54,$80.00,$52.08,53.61,$89.96
TSM,Taiwan Semiconductor S.A.,0.356,11,$93.02,7.05,$101.92,$58.54,74.10,$110.23
FERG,Ferguson plc,0.355,6,$133.75,20.91,$150.58,$95.88,57.05,$153.73
CBRE,CBRE Group,0.347,8,$72.81,10.95,$75.22,$66.31,13.44,$89.58
EQH,Equitable Holdings Inc.,0.342,4,$25.39,23.16,$25.42,$21.70,17.14,$32.74
LOW,Lowe's Cos.,0.335,4,$199.06,19.64,$215.23,$167.15,28.76,$222.20
HLT,Hilton Worldwide Holdings,0.327,3,$140.87,12.82,$137.09,$107.94,27.01,$152.57
ADI,Analog Devices,0.321,7,$197.22,5.57,$185.95,$131.01,41.94,$196.36
WBD,Warner Bros. Discovery Inc.,0.312,7,$15.10,6.81,$11.77,$8.82,33.45,$17.65
TMO,Thermo Fisher Scientific,0.310,9,$576.37,5.39,$524.15,$474.90,10.37,$609.61
MDLZ,Mondelez International,0.310,5,$69.70,23.74,$73.07,$54.11,35.04,$78.59
SE,Sea Ltd,0.308,3,$86.55,21.02,$58.94,$40.67,44.92,$93.70
SCHW,Charles Schwab Corp.,0.302,12,$52.38,4.68,$53.17,$44.76,18.79,$85.91
TRMD,Torm Plc,0.295,1,,22.70,$23.61,$8.90,165.28,$34.18
JHG,Janus Henderson Group,0.294,1,,22.63,$26.42,$18.21,45.09,$30.42
ADBE,Adobe Inc.,0.292,11,$385.34,4.93,$484.68,$274.73,76.42,$518.74
ACN,Accenture,0.292,8,$285.03,8.14,$298.43,$241.01,23.82,$327.93
PYPL,PayPal Holdings Inc.,0.288,7,$75.94,7.13,$66.91,$58.95,13.50,$103.03
FDX,FedEx Corp.,0.286,10,$228.49,6.34,$232.33,$139.40,66.66,$243.02
OXY,Occidental Petroleum,0.284,3,$62.42,13.46,$56.07,$55.34,1.32,$76.37
GM,General Motors,0.281,8,$36.68,11.53,$36.18,$30.04,20.44,$43.41
NEWR,New Relic Inc.,0.279,2,$75.29,21.43,$65.64,$47.85,37.18,$86.00
ICE,Intercontinental Exchange Inc.,0.277,5,$104.29,6.63,$111.12,$87.56,26.91,$113.15
JD,JD.com Inc.,0.276,3,$43.89,10.26,$34.85,$31.57,10.39,$66.28
JNJ,Johnson & Johnson,0.274,15,$154.81,3.72,$165.52,$148.99,11.09,$178.40
DHR,Danaher Corp.,0.274,8,$252.04,11.34,$238.23,$221.22,7.69,$302.91
LEN,Lennar Corp.,0.274,4,$105.11,14.85,$122.30,$66.65,83.50,$123.06
SMAR,Smartsheet Inc.,0.256,1,,19.71,$38.28,$25.09,52.57,$52.81
BK,Bank of New York Mellon Corp.,0.254,10,$45.62,3.91,$42.84,$35.31,21.33,$51.80
KMX,CarMax Inc.,0.251,7,$64.28,5.53,$86.28,$52.10,65.60,$106.24
WGO,Winnebago Industries Inc.,0.249,2,$57.70,18.01,$60.83,$46.96,29.54,$69.91
AMAT,Applied Materials,0.248,7,$126.50,5.80,$136.06,$70.42,93.21,$142.53
CMCSA,Comcast Corp.,0.242,11,$37.91,4.72,$40.08,$27.96,43.35,$42.67
BB,BlackBerry Ltd.,0.235,3,$4.56,15.16,$4.80,$3.17,51.42,$7.20
ET,Energy Transfer LP,0.234,4,$12.47,7.03,$12.51,$8.36,49.64,$13.03
WM,Waste Management Inc.,0.233,2,$162.97,15.77,$165.56,$145.11,14.09,$173.08
FCNCA,First Citizens Bancshares,0.231,4,$973.10,6.83,$1208.28,$505.84,138.87,$1345.44
APO,Apollo Global Management,0.231,3,$63.16,15.45,$73.01,$44.78,63.04,$77.59
NCR,NCR Corp.,0.229,1,,17.64,$24.37,$18.06,34.94,$35.42
