manager,stock,period,shares,percentage_of_portfolio,percentage_change_to_portfolio,reported_price,direction,distance
AKO Capital,BKNG - Booking Holdings Inc.,2023   Q1,"345,454",13.94,1.08,"$2,652.41",Reduce,7.21%
AKO Capital,BKNG - Booking Holdings Inc.,2022   Q4,"372,287",12.12,0.18,"$2,015.28",Add,1.47%
AKO Capital,BKNG - Booking Holdings Inc.,2022   Q3,"366,884",9.95,0.59,"$1,643.21",Add,6.26%
AKO Capital,BKNG - Booking Holdings Inc.,2022   Q2,"345,275",8.46,1.03,"$1,748.99",Reduce,10.88%
AKO Capital,BKNG - Booking Holdings Inc.,2022   Q1,"387,435",9.82,3.45,"$2,348.45",Reduce,25.99%
AKO Capital,BKNG - Booking Holdings Inc.,2021   Q4,"523,490",12.23,3.27,"$2,399.23",Add,36.53%
AKO Capital,BKNG - Booking Holdings Inc.,2021   Q3,"383,420",9.43,3.44,"$2,373.87",Add,57.37%
AKO Capital,BKNG - Booking Holdings Inc.,2021   Q2,"243,649",6.01,0.75,"$2,188.09",Reduce,11.11%
AKO Capital,BKNG - Booking Holdings Inc.,2021   Q1,"274,101",7.89,0.01,"$2,329.84",Reduce,0.10%
AKO Capital,BKNG - Booking Holdings Inc.,2020   Q4,"274,374",7.88,4.79,"$2,227.27",Add,155.30%
AKO Capital,BKNG - Booking Holdings Inc.,2020   Q3,"107,470",2.88,0.06,"$1,710.68",Add,2.27%
AKO Capital,BKNG - Booking Holdings Inc.,2020   Q2,"105,086",2.92,1.55,"$1,592.34",Add,112.54%
AKO Capital,BKNG - Booking Holdings Inc.,2020   Q1,"49,443",1.40,1.40,"$1,345.33",Buy,undefined
AKO Capital,ALC - Alcon Inc.,2023   Q1,"6,604,162",7.10,1.05,$70.67,Add,17.26%
AKO Capital,ALC - Alcon Inc.,2022   Q4,"5,631,934",6.23,0.13,$68.47,Reduce,2.07%
AKO Capital,ALC - Alcon Inc.,2022   Q3,"5,750,956",5.56,1.03,$58.61,Add,22.62%
AKO Capital,ALC - Alcon Inc.,2022   Q2,"4,690,156",4.59,0.64,$69.86,Reduce,12.30%
AKO Capital,ALC - Alcon Inc.,2022   Q1,"5,347,787",4.60,0.02,$79.67,Add,0.50%
AKO Capital,ALC - Alcon Inc.,2021   Q4,"5,321,077",4.55,0.19,$87.83,Reduce,4.05%
AKO Capital,ALC - Alcon Inc.,2021   Q3,"5,545,418",4.65,0.37,$80.95,Reduce,7.29%
AKO Capital,ALC - Alcon Inc.,2021   Q2,"5,981,583",4.73,0.22,$70.13,Reduce,4.53%
AKO Capital,ALC - Alcon Inc.,2021   Q1,"6,265,169",5.44,1.59,$70.24,Add,41.47%
AKO Capital,ALC - Alcon Inc.,2020   Q4,"4,428,514",3.79,1.04,$66.37,Add,37.85%
AKO Capital,ALC - Alcon Inc.,2020   Q3,"3,212,557",2.87,0.02,$56.88,Add,0.71%
AKO Capital,ALC - Alcon Inc.,2020   Q2,"3,189,762",3.20,0.37,$57.39,Add,12.94%
AKO Capital,ALC - Alcon Inc.,2020   Q1,"2,824,344",3.04,0.02,$51.09,Add,0.55%
AKO Capital,ALC - Alcon Inc.,2019   Q4,"2,808,902",3.42,0.85,$56.60,Add,33.07%
AKO Capital,ALC - Alcon Inc.,2019   Q3,"2,110,784",3.00,0.46,$58.32,Reduce,13.28%
AKO Capital,ALC - Alcon Inc.,2019   Q2,"2,434,011",3.83,3.83,$61.85,Buy,undefined
AKO Capital,ACN - Accenture,2023   Q1,"1,871,312",8.14,0.21,$285.81,Reduce,2.52%
